2024-12-05 21:06:25,892 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '20.207.73.82', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:26,016 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '20.207.73.82', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:27,833 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '140.82.113.26', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:28,121 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '20.207.73.85', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:28,753 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '140.82.114.21', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:29,016 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '140.82.114.21', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:29,063 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '140.82.114.21', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:32,600 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '140.82.113.26', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:33,614 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '140.82.113.26', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:40,701 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '216.137.52.35', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:41,444 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '18.155.33.121', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:41,962 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '13.126.70.76', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:42,070 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '142.250.183.70', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:49,799 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '40.126.17.132', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:53,145 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '104.208.16.94', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:53,435 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '13.126.76.153', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:53,968 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '192.28.147.68', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:06:54,230 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '192.28.147.68', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:07,156 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '3.221.199.152', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:07,421 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.247.241.14', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:07,821 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '3.208.226.24', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:08,084 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '3.208.226.24', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:08,619 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '3.208.226.24', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:17,962 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.247.241.14', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:30,115 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '3.221.199.152', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:30,374 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '3.221.199.152', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:37,351 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.247.241.14', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:37,452 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.247.241.14', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:37,477 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.247.241.14', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:37,482 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.247.241.14', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:37,484 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.247.241.14', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:37,486 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.247.241.14', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:46,377 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '104.21.38.85', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:46,617 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '104.21.38.85', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:52,304 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '141.95.98.65', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:52,306 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '162.19.138.82', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:52,773 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '18.155.46.196', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:53,297 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '131.153.206.103', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:53,320 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '18.155.33.14', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:53,329 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '18.155.46.196', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:53,418 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '54.230.46.225', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:53,726 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '131.153.206.103', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:53,729 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '23.55.17.173', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:53,748 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '54.230.27.88', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:54,779 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '79.127.230.245', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:54,786 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '35.214.142.18', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:54,832 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '34.107.165.188', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:54,837 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '13.228.141.68', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:54,995 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '18.141.252.181', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:55,155 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '98.82.156.107', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:55,309 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '49.44.79.236', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:55,561 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '79.127.230.245', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
2024-12-05 21:07:55,679 - Alert: {'Source IP': '192.168.29.52', 'Destination IP': '98.82.156.107', 'Destination Port': 443, 'Alert Type': 'TCP SYN Packet'}
